Source,Target,Relation,Source_Type,Target_Type,Weight,Paper_Count,Paper_IDs,Years,Edge_Key
dinoflagellate gymnodinium catenatum,response to nutrient,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_ENVIRONMENT,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum', 'response to nutrient')"
dinoflagellate gymnodinium catenatum,toxin analogues,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P055;P202,2015,"('dinoflagellate gymnodinium catenatum', 'toxin analogues')"
dinoflagellate gymnodinium catenatum,toxin production,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum', 'toxin production')"
dinoflagellate gymnodinium catenatum,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum', 'toxin production')"
dinoflagellate gymnodinium catenatum,toxin profile of gymnodinium,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P057;P204,2015,"('dinoflagellate gymnodinium catenatum', 'toxin profile of gymnodinium')"
dinoflagellate gymnodinium catenatum,toxins decreased,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum', 'toxins decreased')"
dinoflagellate gymnodinium catenatum,toxins produced,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum', 'toxins produced')"
dinoflagellate gymnodinium catenatum,toxins were detected,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum', 'toxins were detected')"
dinoflagellate gymnodinium catenatum isolated,diversity of toxin,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'diversity of toxin')"
dinoflagellate gymnodinium catenatum isolated,n-sulfocarbamoyl toxins,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'n-sulfocarbamoyl toxins')"
dinoflagellate gymnodinium catenatum isolated,nitrogen,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'nitrogen')"
dinoflagellate gymnodinium catenatum isolated,nitrogen,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_ENVIRONMENT,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'nitrogen')"
dinoflagellate gymnodinium catenatum isolated,nutrient limitation,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'nutrient limitation')"
dinoflagellate gymnodinium catenatum isolated,nutrient limitation,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_ENVIRONMENT,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'nutrient limitation')"
dinoflagellate gymnodinium catenatum isolated,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'paralytic shellfish toxins')"
dinoflagellate gymnodinium catenatum isolated,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'paralytic shellfish toxins')"
dinoflagellate gymnodinium catenatum isolated,phosphorus,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'phosphorus')"
dinoflagellate gymnodinium catenatum isolated,pst production,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'pst production')"
dinoflagellate gymnodinium catenatum isolated,response to nutrient,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_ENVIRONMENT,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'response to nutrient')"
dinoflagellate gymnodinium catenatum isolated,sulfocarbamoyl toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'sulfocarbamoyl toxins')"
dinoflagellate gymnodinium catenatum isolated,temperature,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'temperature')"
dinoflagellate gymnodinium catenatum isolated,toxin production,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'toxin production')"
dinoflagellate gymnodinium catenatum isolated,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'toxin production')"
dinoflagellate gymnodinium catenatum isolated,toxin profiles of g,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'toxin profiles of g')"
dinoflagellate gymnodinium catenatum isolated,toxins decreased,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'toxins decreased')"
dinoflagellate gymnodinium catenatum isolated,toxins produced,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'toxins produced')"
dinoflagellate gymnodinium catenatum isolated,toxins were detected,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P038;P185,2022,"('dinoflagellate gymnodinium catenatum isolated', 'toxins were detected')"
dinoflagellate pyrodinium,neostx,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium', 'neostx')"
dinoflagellate pyrodinium,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium', 'paralytic shellfish toxins')"
dinoflagellate pyrodinium,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium', 'paralytic shellfish toxins')"
dinoflagellate pyrodinium,presence of psts,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P040;P187,2022,"('dinoflagellate pyrodinium', 'presence of psts')"
dinoflagellate pyrodinium,toxin production,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P086;P220,1994;2016,"('dinoflagellate pyrodinium', 'toxin production')"
dinoflagellate pyrodinium,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P086;P220,1994;2016,"('dinoflagellate pyrodinium', 'toxin production')"
dinoflagellate pyrodinium,water temperature,SEMANTIC_CO_OCCURS,PHRASE_ENVIRONMENT,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium', 'water temperature')"
dinoflagellate pyrodinium bahamense,neostx,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium bahamense', 'neostx')"
dinoflagellate pyrodinium bahamense,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium bahamense', 'paralytic shellfish toxins')"
dinoflagellate pyrodinium bahamense,paralytic shellfish toxins,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium bahamense', 'paralytic shellfish toxins')"
dinoflagellate pyrodinium bahamense,presence of psts,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium bahamense', 'presence of psts')"
dinoflagellate pyrodinium bahamense,toxin production,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P086;P220,1994;2016,"('dinoflagellate pyrodinium bahamense', 'toxin production')"
dinoflagellate pyrodinium bahamense,toxin production,SEMANTIC_CO_OCCURS,TOXIN,PHRASE_TAXON,2,2,P086;P220,1994;2016,"('dinoflagellate pyrodinium bahamense', 'toxin production')"
dinoflagellate pyrodinium bahamense,water temperature,SEMANTIC_CO_OCCURS,PHRASE_ENVIRONMENT,PHRASE_TAXON,2,2,P040;P187,2022,"('dinoflagellate pyrodinium bahamense', 'water temperature')"
dinoflagellate species,genes involved,SEMANTIC_CO_OCCURS,PHRASE_GENE_MECHANISM,PHRASE_TAXON,2,2,P120;P183,2013;2019,"('dinoflagellate species', 'genes involved')"
dinoflagellate species,microg stx,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P030;P152,2010;2012,"('dinoflagellate species', 'microg stx')"
dinoflagellate species,presence of c3,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_OTHER,2,2,P048;P195,2014,"('dinoflagellate species', 'presence of c3')"
dinoflagellate species,producing dinoflagellate,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TAXON,2,2,P030;P120,2012;2013,"('dinoflagellate species', 'producing dinoflagellate')"
dinoflagellate species,pyrodinium,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P072;P131,2024,"('dinoflagellate species', 'pyrodinium')"
dinoflagellate species,pyrodinium bahamense,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TAXON,2,2,P072;P131,2024,"('dinoflagellate species', 'pyrodinium bahamense')"
dinoflagellate species,pyrodinium bahamense,SEMANTIC_CO_OCCURS,SPECIES,PHRASE_TAXON,2,2,P072;P131,2024,"('dinoflagellate species', 'pyrodinium bahamense')"
dinoflagellate species,sulfocarbamoyl toxin,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P048;P195,2014,"('dinoflagellate species', 'sulfocarbamoyl toxin')"
dinoflagellate species,sulfocarbamoyl toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P048;P195,2014,"('dinoflagellate species', 'sulfocarbamoyl toxins')"
dinoflagellate species,sxta,SEMANTIC_CO_OCCURS,GENE,PHRASE_TAXON,2,2,P120;P131,2013;2024,"('dinoflagellate species', 'sxta')"
dinoflagellate species,toxic blooms,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P072;P131,2024,"('dinoflagellate species', 'toxic blooms')"
dinoflagellate species,toxin analogs,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P048;P195,2014,"('dinoflagellate species', 'toxin analogs')"
dinoflagellate species,toxin biosynthesis,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P131;P183,2019;2024,"('dinoflagellate species', 'toxin biosynthesis')"
dinoflagellate species,toxin dynamics,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P072;P131,2024,"('dinoflagellate species', 'toxin dynamics')"
dinoflagellates,dinoflagellates alexandrium,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P111;P142,2001;2024,"('dinoflagellates', 'dinoflagellates alexandrium')"
dinoflagellates,dinoflagellates such,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P004;P216,2021;2022,"('dinoflagellates', 'dinoflagellates such')"
dinoflagellates,dinoflagellates such as alexandrium,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P004;P216,2021;2022,"('dinoflagellates', 'dinoflagellates such as alexandrium')"
dinoflagellates,domains sxta1,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_GENE_MECHANISM,2,2,P128;P217,2015;2018,"('dinoflagellates', 'domains sxta1')"
dinoflagellates,dominant toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P041;P188,1990,"('dinoflagellates', 'dominant toxins')"
dinoflagellates,down-regulated,SEMANTIC_CO_OCCURS,TAXON_GROUP,REGULATION_EXPRESSION,2,2,P008;P078,1999;2016,"('dinoflagellates', 'down-regulated')"
dinoflagellates,dynamics of alexandrium,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P232;P237,2012;2022,"('dinoflagellates', 'dynamics of alexandrium')"
dinoflagellates,each toxin,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P055;P202,2015,"('dinoflagellates', 'each toxin')"
dinoflagellates,effects of temperature,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_ENVIRONMENT,2,2,P080;P082,2015;2021,"('dinoflagellates', 'effects of temperature')"
dinoflagellates,emerging psts,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P057;P204,2015,"('dinoflagellates', 'emerging psts')"
dinoflagellates,emerging psts,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P057;P204,2015,"('dinoflagellates', 'emerging psts')"
dinoflagellates,environmental conditions,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TAXON,2,2,P084;P169,2023;2024,"('dinoflagellates', 'environmental conditions')"
dinoflagellates,fas,SEMANTIC_CO_OCCURS,BIOSYNTHETIC_SYSTEM,PHRASE_TAXON,2,2,P009;P010,2020;2026,"('dinoflagellates', 'fas')"
dinoflagellates,fas,SEMANTIC_CO_OCCURS,TAXON_GROUP,BIOSYNTHETIC_SYSTEM,2,2,P009;P010,2020;2026,"('dinoflagellates', 'fas')"
dinoflagellates,freshwater dinoflagellate,SEMANTIC_CO_OCCURS,TAXON_GROUP,TAXON_GROUP,2,2,P010;P112,2025;2026,"('dinoflagellates', 'freshwater dinoflagellate')"
dinoflagellates,gene expression,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_GENE_MECHANISM,2,2,P002;P067,2025;2026,"('dinoflagellates', 'gene expression')"
dinoflagellates,gene expression,SEMANTIC_CO_OCCURS,REGULATION_EXPRESSION,PHRASE_TAXON,2,2,P002;P067,2025;2026,"('dinoflagellates', 'gene expression')"
dinoflagellates,gene sxta,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_GENE_MECHANISM,2,2,P023;P116,2011;2022,"('dinoflagellates', 'gene sxta')"
dinoflagellates,gene transfer,SEMANTIC_CO_OCCURS,EVOLUTIONARY_PROCESS,PHRASE_TAXON,2,2,P115;P117,2013;2024,"('dinoflagellates', 'gene transfer')"
dinoflagellates,genes have,SEMANTIC_CO_OCCURS,PHRASE_GENE_MECHANISM,PHRASE_TAXON,2,2,P070;P098,2025,"('dinoflagellates', 'genes have')"
dinoflagellates,genes have,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_GENE_MECHANISM,2,2,P070;P098,2025,"('dinoflagellates', 'genes have')"
dinoflagellates,genes sxta4,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_GENE_MECHANISM,2,2,P082;P097,2021,"('dinoflagellates', 'genes sxta4')"
dinoflagellates,growth and toxin profiles,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P054;P201,2017,"('dinoflagellates', 'growth and toxin profiles')"
dinoflagellates,gtxs,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN,2,2,P045;P192,2021,"('dinoflagellates', 'gtxs')"
dinoflagellates,gymnodinium catenatum and pyrodinium,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P119;P234,2007;2015,"('dinoflagellates', 'gymnodinium catenatum and pyrodinium')"
dinoflagellates,gymnodinium catenatum graham,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TAXON,2,2,P055;P202,2015,"('dinoflagellates', 'gymnodinium catenatum graham')"
dinoflagellates,gymnodinium catenatum has,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TAXON,2,2,P057;P204,2015,"('dinoflagellates', 'gymnodinium catenatum has')"
dinoflagellates,gymnodinium catenatum has,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P057;P204,2015,"('dinoflagellates', 'gymnodinium catenatum has')"
dinoflagellates,hgt,SEMANTIC_CO_OCCURS,TAXON_GROUP,EVOLUTIONARY_PROCESS,2,2,P122;P128,2009;2018,"('dinoflagellates', 'hgt')"
dinoflagellates,horizontal gene,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_GENE_MECHANISM,2,2,P115;P117,2013;2024,"('dinoflagellates', 'horizontal gene')"
dinoflagellates,horizontal gene transfer,SEMANTIC_CO_OCCURS,EVOLUTIONARY_PROCESS,PHRASE_TAXON,2,2,P115;P117,2013;2024,"('dinoflagellates', 'horizontal gene transfer')"
dinoflagellates,increased toxin,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P071;P108,2006;2025,"('dinoflagellates', 'increased toxin')"
dinoflagellates,involved in stx biosynthesis,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P099;P119,2015;2016,"('dinoflagellates', 'involved in stx biosynthesis')"
dinoflagellates,involved in stx biosynthesis,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P099;P119,2015;2016,"('dinoflagellates', 'involved in stx biosynthesis')"
dinoflagellates,levels of psts,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P105;P176,2019;2020,"('dinoflagellates', 'levels of psts')"
dinoflagellates,levels of psts,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P105;P176,2019;2020,"('dinoflagellates', 'levels of psts')"
dinoflagellates,light,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TAXON,2,2,P008;P169,2016;2024,"('dinoflagellates', 'light')"
dinoflagellates,marine toxic,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P077;P116,2022,"('dinoflagellates', 'marine toxic')"
dinoflagellates,marine toxins,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P174;P182,1992;2007,"('dinoflagellates', 'marine toxins')"
dinoflagellates,marine toxins,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P057;P204,2015,"('dinoflagellates', 'marine toxins')"
dinoflagellates,metabolic functions,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,PHRASE_TAXON,2,2,P003;P009,2020;2023,"('dinoflagellates', 'metabolic functions')"
dinoflagellates,metabolic pathways,SEMANTIC_CO_OCCURS,TAXON_GROUP,BIOSYNTHETIC_SYSTEM,2,2,P092;P112,2004;2025,"('dinoflagellates', 'metabolic pathways')"
dinoflagellates,n-sulfocarbamoyl toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P038;P185,2022,"('dinoflagellates', 'n-sulfocarbamoyl toxins')"
dinoflagellates,nitrate and phosphate,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_ENVIRONMENT,2,2,P107;P108,2006;2007,"('dinoflagellates', 'nitrate and phosphate')"
dinoflagellates,non-stx producing,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN_PHENOTYPE,2,2,P013;P119,2015;2020,"('dinoflagellates', 'non-stx producing')"
dinoflagellates,non-toxic species,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P115;P118,2013;2024,"('dinoflagellates', 'non-toxic species')"
dinoflagellates,non-toxic strains,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P006;P118,2013;2021,"('dinoflagellates', 'non-toxic strains')"
dinoflagellates,non-toxigenic,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN_PHENOTYPE,2,2,P001;P143,2024;2026,"('dinoflagellates', 'non-toxigenic')"
dinoflagellates,nutrient acquisition,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_EVOLUTION,2,2,P089;P168,2021;2025,"('dinoflagellates', 'nutrient acquisition')"
dinoflagellates,origin of saxitoxin,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P115;P122,2009;2024,"('dinoflagellates', 'origin of saxitoxin')"
dinoflagellates,oxidative stress,SEMANTIC_CO_OCCURS,ENV_FACTOR,PHRASE_TAXON,2,2,P070;P098,2025,"('dinoflagellates', 'oxidative stress')"
dinoflagellates,oxidative stress,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_ENVIRONMENT,2,2,P070;P098,2025,"('dinoflagellates', 'oxidative stress')"
dinoflagellates,paralytic toxin,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P055;P202,2015,"('dinoflagellates', 'paralytic toxin')"
dinoflagellates,potentially toxic,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P104;P237,2012;2020,"('dinoflagellates', 'potentially toxic')"
dinoflagellates,precursors,SEMANTIC_CO_OCCURS,TAXON_GROUP,BIOLOGICAL_MECHANISM,2,2,P004;P138,2016;2022,"('dinoflagellates', 'precursors')"
dinoflagellates,presence of c3,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_OTHER,2,2,P048;P195,2014,"('dinoflagellates', 'presence of c3')"
dinoflagellates,produce paralytic shellfish toxins,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P007;P105,2016;2019,"('dinoflagellates', 'produce paralytic shellfish toxins')"
dinoflagellates,produced by cyanobacteria,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P138;P177,2016;2018,"('dinoflagellates', 'produced by cyanobacteria')"
dinoflagellates,producing alexandrium,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TAXON,2,2,P023;P105,2011;2019,"('dinoflagellates', 'producing alexandrium')"
dinoflagellates,production of saxitoxin,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P067;P117,2013;2026,"('dinoflagellates', 'production of saxitoxin')"
dinoflagellates,profile of gymnodinium,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TAXON,2,2,P057;P204,2015,"('dinoflagellates', 'profile of gymnodinium')"
dinoflagellates,profile of gymnodinium catenatum,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TAXON,2,2,P057;P204,2015,"('dinoflagellates', 'profile of gymnodinium catenatum')"
dinoflagellates,profiles of alexandrium,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TAXON,2,2,P058;P205,2015,"('dinoflagellates', 'profiles of alexandrium')"
dinoflagellates,profiles of psp toxins,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P053;P200,2006,"('dinoflagellates', 'profiles of psp toxins')"
dinoflagellates,pst biosynthesis,SEMANTIC_CO_OCCURS,BIOLOGICAL_MECHANISM,PHRASE_TAXON,2,2,P007;P067,2016;2026,"('dinoflagellates', 'pst biosynthesis')"
dinoflagellates,pst biosynthesis,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P007;P067,2016;2026,"('dinoflagellates', 'pst biosynthesis')"
dinoflagellates,pst detection,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P045;P192,2021,"('dinoflagellates', 'pst detection')"
dinoflagellates,pst producing,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P012;P180,2010;2014,"('dinoflagellates', 'pst producing')"
dinoflagellates,pst producing,SEMANTIC_CO_OCCURS,TAXON_GROUP,PHRASE_TOXIN_PHENOTYPE,2,2,P012;P180,2010;2014,"('dinoflagellates', 'pst producing')"
dinoflagellates,pst producing,SEMANTIC_CO_OCCURS,TAXON_GROUP,TOXIN_PHENOTYPE,2,2,P012;P180,2010;2014,"('dinoflagellates', 'pst producing')"
dinoflagellates,pst producing,SEMANTIC_CO_OCCURS,TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P012;P180,2010;2014,"('dinoflagellates', 'pst producing')"
dinoflagellates,pst production,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P007;P067,2016;2026,"('dinoflagellates', 'pst production')"
dinoflagellates,pyrodinium bahamense,SEMANTIC_CO_OCCURS,TAXON_GROUP,SPECIES,2,2,P007;P168,2016;2025,"('dinoflagellates', 'pyrodinium bahamense')"
dinoflagellates,regulation mechanisms,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_REGULATION,2,2,P070;P098,2025,"('dinoflagellates', 'regulation mechanisms')"
dinoflagellates,saxitoxin analogues,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P055;P202,2015,"('dinoflagellates', 'saxitoxin analogues')"
dinoflagellates,saxitoxin and its analogues,SEMANTIC_CO_OCCURS,PHRASE_TOXIN_PHENOTYPE,PHRASE_TAXON,2,2,P028;P119,2015;2018,"('dinoflagellates', 'saxitoxin and its analogues')"
dinoflagellates,saxitoxin biosynthesis in dinoflagellates,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P117;P171,2013;2020,"('dinoflagellates', 'saxitoxin biosynthesis in dinoflagellates')"
dinoflagellates,saxitoxin biosynthetic,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_TOXIN_PHENOTYPE,2,2,P116;P180,2010;2022,"('dinoflagellates', 'saxitoxin biosynthetic')"
dinoflagellates,saxitoxin biosynthetic gene,SEMANTIC_CO_OCCURS,PHRASE_TAXON,PHRASE_GENE_MECHANISM,2,2,P116;P180,2010;2022,"('dinoflagellates', 'saxitoxin biosynthetic gene')"
dinoflagellates,secondary metabolite,SEMANTIC_CO_OCCURS,BIOSYNTHETIC_SYSTEM,PHRASE_TAXON,2,2,P006;P008,2016;2021,"('dinoflagellates', 'secondary metabolite')"
