Source,Source_Type,Target,Target_Type,Hypothesis_Class,Temporal_Label,ML_Probability,Node2Vec_Integrated_Score,Final_AI_Rank_Score,Score,Common_Neighbors,Distinct_Bridge_Types,Bridge_Nodes,Interpretation
nitrogen,ENV_FACTOR,sxt_genes,SXT_GENE,environment_gene_regulation,1,0.7088169584737315,0.390551773093361,0.5815108843215833,198.9404006358086,22,6,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; biosynthesis; cyanobacteria; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; transcriptome; pyrodinium; bloom; alexandrium_catenella; light; sxta; expression; pyrodinium_bahamense; evolution; toxin_biosynthesis; alexandrium_tamarense; toxicity,"nitrogen may influence or regulate sxt_genes, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, dinoflagellates, biosynthesis."
bloom,ENV_FACTOR,sxti,SXT_GENE,environment_gene_regulation,1,0.8043206389920907,0.2440462453586565,0.580210881538717,98.33751938958284,13,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"bloom may influence or regulate sxti, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
phosphate,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,1,0.7198721581969632,0.3634652911154686,0.5773094113643653,174.20530684989367,20,4,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_toxins; biosynthesis; saxitoxin_biosynthesis; dinoflagellates; alexandrium_minutum; nutrient; toxin_production; alexandrium_fundyense; gonyautoxin; bloom; nitrogen; toxin_biosynthesis; paralytic_shellfish_poisoning; toxicity; gymnodinium; gymnodinium_catenatum; phosphorus,"phosphate may influence or regulate sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, paralytic_shellfish_toxins, biosynthesis."
paralytic_shellfish_toxins,TOXIN,protoceratium_reticulatum,DINO_TAXON,taxon_toxin_association,1,0.8536856943711651,0.1455776556855436,0.5704424788969166,43.158410411340725,5,3,alexandrium_ostenfeldii; alexandrium; toxicity; paralytic_shellfish_poisoning; alexandrium_minutum,"paralytic_shellfish_toxins may be associated with protoceratium_reticulatum production or occurrence, supported by bridge concepts including alexandrium_ostenfeldii, alexandrium, toxicity, paralytic_shellfish_poisoning, alexandrium_minutum."
paralytic_shellfish_toxins,TOXIN,protoceratium,DINO_TAXON,taxon_toxin_association,1,0.8536856943711651,0.1431200396878285,0.5694594324978305,43.158410411340725,5,3,alexandrium_ostenfeldii; alexandrium; toxicity; paralytic_shellfish_poisoning; alexandrium_minutum,"paralytic_shellfish_toxins may be associated with protoceratium production or occurrence, supported by bridge concepts including alexandrium_ostenfeldii, alexandrium, toxicity, paralytic_shellfish_poisoning, alexandrium_minutum."
paralytic_shellfish_toxins,TOXIN,bloom_dynamics,BIOLOGICAL_PROCESS,process_toxin_association,1,0.787935364378022,0.2276722268054314,0.5638301093489857,37.41187942648596,4,3,alexandrium; paralytic_shellfish_poisoning; bloom; dinoflagellates,"paralytic_shellfish_toxins may be mechanistically associated with bloom_dynamics, supported by bridge concepts including alexandrium, paralytic_shellfish_poisoning, bloom, dinoflagellates."
transcriptomic,BIOLOGICAL_PROCESS,sxti,SXT_GENE,gene_process_association,1,0.833304205458697,0.1531828039772753,0.5612556448661283,60.51534003664286,7,4,saxitoxin; cyanobacteria; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; dinoflagellates; biosynthesis,"transcriptomic may be linked to the biological process sxti, supported by bridge concepts including saxitoxin, cyanobacteria, dinoflagellate, alexandrium, paralytic_shellfish_poisoning."
pyrodinium_bahamense,DINO_TAXON,cylindrospermopsis,CYANO_TAXON,cross_taxa_association,1,0.704336840071486,0.3410361625043258,0.5590165690446219,180.84020702569453,19,7,paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; saxitoxin; toxicity; sxta; cyanobacterial; biosynthesis; pyrodinium; saxitoxin_biosynthesis; bloom; lc_ms; dinoflagellate; alexandrium; mass_spectrometry; phylogenetic; cyanobacteria; gymnodinium; hplc,"pyrodinium_bahamense and cylindrospermopsis may share STX-related biological context, supported by bridge concepts including paralytic_shellfish_poisoning, dinoflagellates, paralytic_shellfish_toxins, saxitoxin, toxicity."
alexandrium_fundyense,DINO_TAXON,cyanobacterium,CYANO_TAXON,cross_taxa_association,0,0.6485051564116628,0.4157069139295423,0.5553858594188146,223.32651027429608,22,7,saxitoxin; dinoflagellates; paralytic_shellfish_poisoning; alexandrium; dinoflagellate; paralytic_shellfish_toxins; sxta; expression; cyanobacteria; toxin_production; saxitoxin_biosynthesis; bloom; nitrogen; cyanobacterial; toxicity; alexandrium_tamarense; alexandrium_minutum; phylogenetic; biosynthesis; gymnodinium,"alexandrium_fundyense and cyanobacterium may share STX-related biological context, supported by bridge concepts including saxitoxin, dinoflagellates, paralytic_shellfish_poisoning, alexandrium, dinoflagellate."
temperature,ENV_FACTOR,sxt_genes,SXT_GENE,environment_gene_regulation,1,0.6842241665679747,0.3610083892932533,0.5549378556580861,186.74773502356203,19,5,saxitoxin; dinoflagellate; alexandrium; dinoflagellates; saxitoxin_biosynthesis; biosynthesis; gymnodinium; gymnodinium_catenatum; paralytic_shellfish_toxins; pyrodinium; paralytic_shellfish_poisoning; bloom; alexandrium_catenella; light; sxta; pyrodinium_bahamense; toxin_biosynthesis; toxicity; alexandrium_tamarense,"temperature may influence or regulate sxt_genes, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, dinoflagellates, saxitoxin_biosynthesis."
salinity,ENV_FACTOR,sxtg,SXT_GENE,environment_gene_regulation,1,0.6773001478592241,0.3545334974291656,0.5481934876872007,176.44914533491,20,5,saxitoxin; dinoflagellate; alexandrium; paralytic_shellfish_toxins; dinoflagellates; paralytic_shellfish_poisoning; alexandrium_minutum; nutrient; toxin_production; pyrodinium; gonyautoxin; bloom; nitrogen; pyrodinium_bahamense; toxin_biosynthesis; toxicity; biosynthesis; cyanobacteria; gymnodinium; gymnodinium_catenatum,"salinity may influence or regulate sxtg, supported by bridge concepts including saxitoxin, dinoflagellate, alexandrium, paralytic_shellfish_toxins, dinoflagellates."
sxtb,SXT_GENE,gene_loss,BIOLOGICAL_PROCESS,gene_process_association,1,0.7996708424036311,0.165322039230459,0.5459313211343622,39.05860426168277,4,3,saxitoxin; evolution; cyanobacteria; biosynthesis,"sxtb may be linked to the biological process gene_loss, supported by bridge concepts including saxitoxin, evolution, cyanobacteria, biosynthesis."
nutrient,ENV_FACTOR,sxti,SXT_GENE,environment_gene_regulation,1,0.7541260787269662,0.2323454276731165,0.5454138183054263,98.84480456617273,13,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"nutrient may influence or regulate sxti, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
transcriptomic,BIOLOGICAL_PROCESS,sxtu,SXT_GENE,gene_process_association,1,0.791962936777418,0.1641858981624951,0.5408521213314488,69.9460034751853,8,4,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; dinoflagellate; paralytic_shellfish_poisoning; expression; dinoflagellates; biosynthesis,"transcriptomic may be linked to the biological process sxtu, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, dinoflagellate, paralytic_shellfish_poisoning."
pyrodinium_bahamense,DINO_TAXON,aphanizomenon,CYANO_TAXON,cross_taxa_association,1,0.6511297887795264,0.3718238990504109,0.5394074328878802,190.9664883034708,19,7,saxitoxin; paralytic_shellfish_toxins; dinoflagellate; paralytic_shellfish_poisoning; alexandrium; dinoflagellates; hplc; cyanobacterial; mass_spectrometry; biosynthesis; pyrodinium; bloom; sxta; evolution; toxicity; phylogeny; phylogenetic; cyanobacteria; gymnodinium,"pyrodinium_bahamense and aphanizomenon may share STX-related biological context, supported by bridge concepts including saxitoxin, paralytic_shellfish_toxins, dinoflagellate, paralytic_shellfish_poisoning, alexandrium."
neosaxitoxin,TOXIN,alexandrium_tamiyavanichii,DINO_TAXON,taxon_toxin_association,0,0.6054543991804928,0.4375316091554118,0.5382852831704604,191.00049747644024,20,6,alexandrium; dinoflagellate; toxicity; hplc; saxitoxin; paralytic_shellfish_poisoning; dinoflagellates; paralytic_shellfish_toxins; pyrodinium; gonyautoxin; gtx; alexandrium_catenella; light; pyrodinium_bahamense; nitrate; alexandrium_minutum; biosynthesis; cyanobacteria; temperature; toxin_production,"neosaxitoxin may be associated with alexandrium_tamiyavanichii production or occurrence, supported by bridge concepts including alexandrium, dinoflagellate, toxicity, hplc, saxitoxin."
transcriptomic,BIOLOGICAL_PROCESS,sxtd,SXT_GENE,gene_process_association,1,0.7996025435748212,0.1387192933157996,0.5352492434712125,54.7783974023693,6,4,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; expression; dinoflagellates,"transcriptomic may be linked to the biological process sxtd, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, paralytic_shellfish_poisoning, expression."
toxin_production,BIOLOGICAL_PROCESS,sxti,SXT_GENE,gene_process_association,1,0.7221342349143522,0.2494078830195309,0.5330436941564237,104.2757965486562,14,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"toxin_production may be linked to the biological process sxti, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
alexandrium,DINO_TAXON,sxtd,SXT_GENE,taxon_gene_association,1,0.7334141720682195,0.2309931936771987,0.5324457807118111,97.73233161395372,12,6,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; dinoflagellates; cyanobacterium; lc_ms; paralytic_shellfish_poisoning; sxta; expression; lc_ms_ms; cylindrospermopsis,"alexandrium may be associated with sxtd-related genetic capacity, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, mass_spectrometry, dinoflagellates."
saxitoxin,TOXIN,protoceratium,DINO_TAXON,taxon_toxin_association,1,0.7942958874603144,0.1380884734063788,0.5318129218387402,43.09076285510869,5,3,alexandrium_ostenfeldii; alexandrium; toxicity; paralytic_shellfish_poisoning; alexandrium_minutum,"saxitoxin may be associated with protoceratium production or occurrence, supported by bridge concepts including alexandrium_ostenfeldii, alexandrium, toxicity, paralytic_shellfish_poisoning, alexandrium_minutum."
saxitoxin,TOXIN,protoceratium_reticulatum,DINO_TAXON,taxon_toxin_association,1,0.7839640037151309,0.1497839344973065,0.5302919760280012,43.09076285510869,5,3,alexandrium_ostenfeldii; alexandrium; toxicity; paralytic_shellfish_poisoning; alexandrium_minutum,"saxitoxin may be associated with protoceratium_reticulatum production or occurrence, supported by bridge concepts including alexandrium_ostenfeldii, alexandrium, toxicity, paralytic_shellfish_poisoning, alexandrium_minutum."
gymnodinium_catenatum,DINO_TAXON,sxti,SXT_GENE,taxon_gene_association,1,0.7071258943300704,0.2592052205081977,0.5279576248013214,104.35905554360116,14,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"gymnodinium_catenatum may be associated with sxti-related genetic capacity, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
horizontal_gene_transfer,BIOLOGICAL_PROCESS,sxtd,SXT_GENE,gene_process_association,1,0.7864056527004728,0.1249144261532626,0.5218091620815887,54.69177012140656,6,4,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; sxta; dinoflagellates,"horizontal_gene_transfer may be linked to the biological process sxtd, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, paralytic_shellfish_poisoning, sxta."
alexandrium_fundyense,DINO_TAXON,aphanizomenon,CYANO_TAXON,cross_taxa_association,1,0.6366126859622051,0.3424379157617557,0.5189427778820254,179.02251675720444,18,7,saxitoxin; paralytic_shellfish_toxins; dinoflagellate; paralytic_shellfish_poisoning; alexandrium; dinoflagellates; cyanobacteria; biosynthesis; cyanobacterial; toxicity; evolution; gymnodinium; bloom; horizontal_gene_transfer; toxin_biosynthesis; hplc; sxta; phylogenetic,"alexandrium_fundyense and aphanizomenon may share STX-related biological context, supported by bridge concepts including saxitoxin, paralytic_shellfish_toxins, dinoflagellate, paralytic_shellfish_poisoning, alexandrium."
alexandrium_minutum,DINO_TAXON,sxti,SXT_GENE,taxon_gene_association,1,0.7012769404120673,0.2297004428409605,0.5126463413836246,98.58618387651757,13,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"alexandrium_minutum may be associated with sxti-related genetic capacity, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
nitrogen,ENV_FACTOR,sxtb,SXT_GENE,environment_gene_regulation,1,0.6580050455547821,0.2848815567627266,0.5087556500379599,127.2901541720554,16,6,cyanobacteria; dinoflagellate; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; transcriptome; climate; evolution; toxin_production; bloom; sxtg; toxin_biosynthesis; paralytic_shellfish_poisoning; sxta; nutrient; biosynthesis,"nitrogen may influence or regulate sxtb, supported by bridge concepts including cyanobacteria, dinoflagellate, dinoflagellates, saxitoxin, paralytic_shellfish_toxins."
alexandrium_ostenfeldii,DINO_TAXON,anabaena,CYANO_TAXON,cross_taxa_association,0,0.6170462963388665,0.3391864205925074,0.5059023460403229,178.85386449717652,17,6,saxitoxin; alexandrium; dinoflagellate; dinoflagellates; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; hplc; bloom; cyanobacterial; gonyautoxin; toxicity; mass_spectrometry; gymnodinium; lc_ms; alexandrium_minutum; phylogeny; phylogenetic,"alexandrium_ostenfeldii and anabaena may share STX-related biological context, supported by bridge concepts including saxitoxin, alexandrium, dinoflagellate, dinoflagellates, paralytic_shellfish_toxins."
bloom,ENV_FACTOR,sxtd,SXT_GENE,environment_gene_regulation,0,0.6977517551969666,0.2133658537024203,0.503997394599148,92.2448066978416,11,6,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; dinoflagellates; cyanobacterium; lc_ms; paralytic_shellfish_poisoning; sxta; expression; cylindrospermopsis,"bloom may influence or regulate sxtd, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, mass_spectrometry, dinoflagellates."
biosynthesis,BIOLOGICAL_PROCESS,sxtd,SXT_GENE,gene_process_association,1,0.6977517551969666,0.2116484010368886,0.5033104135329354,92.33456719124504,11,6,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; dinoflagellates; cyanobacterium; paralytic_shellfish_poisoning; sxta; expression; sxtu; cylindrospermopsis,"biosynthesis may be linked to the biological process sxtd, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, mass_spectrometry, dinoflagellates."
sxt_genes,SXT_GENE,transcriptomic,BIOLOGICAL_PROCESS,gene_process_association,1,0.6303078492065015,0.3104867967617158,0.5023794282285872,143.04960831192403,16,5,alexandrium; dinoflagellate; saxitoxin; cyanobacteria; paralytic_shellfish_toxins; paralytic_shellfish_poisoning; dinoflagellates; biosynthesis; transcriptome; toxicity; alexandrium_tamarense; evolution; bloom; alexandrium_catenella; light; expression,"sxt_genes may be linked to the biological process transcriptomic, supported by bridge concepts including alexandrium, dinoflagellate, saxitoxin, cyanobacteria, paralytic_shellfish_toxins."
light,ENV_FACTOR,sxti,SXT_GENE,environment_gene_regulation,0,0.6663893121650951,0.24702363048192,0.498643039491825,98.84480456617273,13,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"light may influence or regulate sxti, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
gymnodinium,DINO_TAXON,sxti,SXT_GENE,taxon_gene_association,1,0.6509215551964382,0.2666156142761959,0.4971991788283413,104.160979708853,14,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"gymnodinium may be associated with sxti-related genetic capacity, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
gymnodinium_catenatum,DINO_TAXON,sxtb,SXT_GENE,taxon_gene_association,1,0.6497653422294819,0.2561554223755752,0.4923213742879192,121.17117810344068,14,6,cyanobacterial; cyanobacteria; dinoflagellate; sxtg; sxta; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; evolution; toxin_production; bloom; paralytic_shellfish_poisoning; nutrient; biosynthesis,"gymnodinium_catenatum may be associated with sxtb-related genetic capacity, supported by bridge concepts including cyanobacterial, cyanobacteria, dinoflagellate, sxtg, sxta."
toxin_production,BIOLOGICAL_PROCESS,sxtu,SXT_GENE,gene_process_association,1,0.6278178504012023,0.2882158596364088,0.4919770540952849,130.18182437378923,17,6,saxitoxin; cyanobacteria; cyanobacterial; paralytic_shellfish_toxins; dinoflagellate; mass_spectrometry; saxitoxin_biosynthesis; gymnodinium; dinoflagellates; cyanobacterium; lc_ms; paralytic_shellfish_poisoning; gymnodinium_catenatum; sxta; expression; phylogenetic; biosynthesis,"toxin_production may be linked to the biological process sxtu, supported by bridge concepts including saxitoxin, cyanobacteria, cyanobacterial, paralytic_shellfish_toxins, dinoflagellate."
dinoflagellate,DINO_TAXON,sxtd,SXT_GENE,taxon_gene_association,1,0.6501651368751834,0.2468488439050837,0.4888386196871435,103.59977540724933,13,6,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; dinoflagellates; cyanobacterium; lc_ms; paralytic_shellfish_poisoning; sxta; expression; sxtu; lc_ms_ms; cylindrospermopsis,"dinoflagellate may be associated with sxtd-related genetic capacity, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, mass_spectrometry, dinoflagellates."
saxitoxin_biosynthesis,BIOLOGICAL_PROCESS,sxtb,SXT_GENE,gene_process_association,1,0.6275136239496898,0.2804298599088958,0.4886801183333722,116.2522582720002,13,6,cyanobacterial; cyanobacteria; dinoflagellate; sxtg; sxta; dinoflagellates; saxitoxin; evolution; toxin_production; toxin_biosynthesis; paralytic_shellfish_poisoning; nutrient; biosynthesis,"saxitoxin_biosynthesis may be linked to the biological process sxtb, supported by bridge concepts including cyanobacterial, cyanobacteria, dinoflagellate, sxtg, sxta."
gtx,TOXIN,protoceratium_reticulatum,DINO_TAXON,taxon_toxin_association,1,0.6902659554518538,0.1683660150739807,0.4815059793007045,43.72347890449141,5,3,alexandrium_ostenfeldii; alexandrium; toxicity; paralytic_shellfish_poisoning; alexandrium_minutum,"gtx may be associated with protoceratium_reticulatum production or occurrence, supported by bridge concepts including alexandrium_ostenfeldii, alexandrium, toxicity, paralytic_shellfish_poisoning, alexandrium_minutum."
alexandrium_catenella,DINO_TAXON,sxti,SXT_GENE,taxon_gene_association,1,0.6344124759882763,0.2494014186438944,0.4804080530505236,98.89382417401586,13,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"alexandrium_catenella may be associated with sxti-related genetic capacity, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
sxta,SXT_GENE,alexandrium_affine,DINO_TAXON,taxon_gene_association,1,0.7044484896307099,0.1417333931312351,0.4793624510309199,48.97701818609738,6,3,temperature; alexandrium; dinoflagellate; light; hplc; nutrient,"sxta may be associated with alexandrium_affine-related genetic capacity, supported by bridge concepts including temperature, alexandrium, dinoflagellate, light, hplc."
cyanobacteria,CYANO_TAXON,alexandrium_affine,DINO_TAXON,cross_taxa_association,1,0.7165340019029084,0.1192193765307449,0.477608151754043,43.21280429368212,5,3,alexandrium; dinoflagellate; light; hplc; nutrient,"cyanobacteria and alexandrium_affine may share STX-related biological context, supported by bridge concepts including alexandrium, dinoflagellate, light, hplc, nutrient."
horizontal_gene_transfer,BIOLOGICAL_PROCESS,sxtb,SXT_GENE,gene_process_association,1,0.6077035617820531,0.2747769972185839,0.4745329359566654,98.89466363154368,12,5,cyanobacteria; dinoflagellates; saxitoxin; cyanobacterial; paralytic_shellfish_toxins; dinoflagellate; evolution; sxtg; toxin_biosynthesis; paralytic_shellfish_poisoning; sxta; biosynthesis,"horizontal_gene_transfer may be linked to the biological process sxtb, supported by bridge concepts including cyanobacteria, dinoflagellates, saxitoxin, cyanobacterial, paralytic_shellfish_toxins."
paralytic_shellfish_toxins,TOXIN,gene_loss,BIOLOGICAL_PROCESS,process_toxin_association,1,0.677314111739033,0.1674295927403385,0.4733603041395552,53.92190771405073,6,4,saxitoxin; cyanobacteria; evolution; nitrogen; horizontal_gene_transfer; biosynthesis,"paralytic_shellfish_toxins may be mechanistically associated with gene_loss, supported by bridge concepts including saxitoxin, cyanobacteria, evolution, nitrogen, horizontal_gene_transfer."
alexandrium_minutum,DINO_TAXON,sxtb,SXT_GENE,taxon_gene_association,1,0.5865831804179195,0.2885728159171255,0.4673790346176019,130.71958644019105,16,6,cyanobacteria; dinoflagellate; sxtg; sxta; dinoflagellates; saxitoxin; cyanobacterial; paralytic_shellfish_toxins; transcriptome; evolution; toxin_production; bloom; toxin_biosynthesis; paralytic_shellfish_poisoning; nutrient; biosynthesis,"alexandrium_minutum may be associated with sxtb-related genetic capacity, supported by bridge concepts including cyanobacteria, dinoflagellate, sxtg, sxta, dinoflagellates."
gtx,TOXIN,protoceratium,DINO_TAXON,taxon_toxin_association,1,0.6643465156655173,0.1668352680676434,0.4653420166263677,43.72347890449141,5,3,alexandrium_ostenfeldii; alexandrium; toxicity; paralytic_shellfish_poisoning; alexandrium_minutum,"gtx may be associated with protoceratium production or occurrence, supported by bridge concepts including alexandrium_ostenfeldii, alexandrium, toxicity, paralytic_shellfish_poisoning, alexandrium_minutum."
nitrate,ENV_FACTOR,sxtb,SXT_GENE,environment_gene_regulation,1,0.658227854736944,0.1680315854074895,0.4621493470051622,80.26636745931621,9,5,dinoflagellate; dinoflagellates; saxitoxin; cyanobacteria; paralytic_shellfish_toxins; toxin_production; bloom; paralytic_shellfish_poisoning; nutrient,"nitrate may influence or regulate sxtb, supported by bridge concepts including dinoflagellate, dinoflagellates, saxitoxin, cyanobacteria, paralytic_shellfish_toxins."
toxin_production,BIOLOGICAL_PROCESS,sxtd,SXT_GENE,gene_process_association,1,0.6429178830778828,0.1878557038583983,0.460893011390089,86.6157156218711,10,6,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; cyanobacterium; lc_ms; paralytic_shellfish_poisoning; sxta; expression; dinoflagellates,"toxin_production may be linked to the biological process sxtd, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, mass_spectrometry, cyanobacterium."
alexandrium_fundyense,DINO_TAXON,cylindrospermopsis,CYANO_TAXON,cross_taxa_association,0,0.5461586913936467,0.3302619816713587,0.4598000075047315,175.0581631799126,17,7,dinoflagellates; paralytic_shellfish_poisoning; saxitoxin; paralytic_shellfish_toxins; toxicity; sxta; cyanobacteria; expression; phylogenetic; biosynthesis; cyanobacterial; dinoflagellate; alexandrium; gymnodinium; saxitoxin_biosynthesis; bloom; hplc,"alexandrium_fundyense and cylindrospermopsis may share STX-related biological context, supported by bridge concepts including dinoflagellates, paralytic_shellfish_poisoning, saxitoxin, paralytic_shellfish_toxins, toxicity."
nitrate,ENV_FACTOR,sxti,SXT_GENE,environment_gene_regulation,1,0.6442176495480268,0.1674937809014776,0.4535281020894071,60.675267464597255,8,3,saxitoxin; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; paralytic_shellfish_poisoning; pyrodinium_bahamense; dinoflagellates,"nitrate may influence or regulate sxti, supported by bridge concepts including saxitoxin, cyanobacteria, pyrodinium, dinoflagellate, alexandrium."
toxicity,BIOLOGICAL_PROCESS,sxti,SXT_GENE,gene_process_association,1,0.582524257795559,0.2556244370213654,0.4517643294858816,103.96173872213576,14,5,saxitoxin; cyanobacterial; cyanobacteria; pyrodinium; dinoflagellate; alexandrium; saxitoxin_biosynthesis; paralytic_shellfish_poisoning; sxta; phylogeny; phylogenetic; pyrodinium_bahamense; dinoflagellates; biosynthesis,"toxicity may be linked to the biological process sxti, supported by bridge concepts including saxitoxin, cyanobacterial, cyanobacteria, pyrodinium, dinoflagellate."
gonyautoxin,TOXIN,protoceratium_reticulatum,DINO_TAXON,taxon_toxin_association,1,0.6535864052535121,0.1472129305717635,0.4510370153808126,43.43501736602987,5,3,alexandrium_ostenfeldii; alexandrium; toxicity; paralytic_shellfish_poisoning; alexandrium_minutum,"gonyautoxin may be associated with protoceratium_reticulatum production or occurrence, supported by bridge concepts including alexandrium_ostenfeldii, alexandrium, toxicity, paralytic_shellfish_poisoning, alexandrium_minutum."
phylogenetic,BIOLOGICAL_PROCESS,sxtb,SXT_GENE,gene_process_association,1,0.5672250809411463,0.2734740461512295,0.4497246670251795,125.37293754294546,15,6,cyanobacterial; cyanobacteria; dinoflagellate; sxta; dinoflagellates; saxitoxin; paralytic_shellfish_toxins; evolution; toxin_production; sxtg; bloom; toxin_biosynthesis; paralytic_shellfish_poisoning; nutrient; biosynthesis,"phylogenetic may be linked to the biological process sxtb, supported by bridge concepts including cyanobacterial, cyanobacteria, dinoflagellate, sxta, dinoflagellates."
gonyautoxin,TOXIN,protoceratium,DINO_TAXON,taxon_toxin_association,1,0.6445521680176654,0.1442986119331795,0.444450745583871,43.43501736602987,5,3,alexandrium_ostenfeldii; alexandrium; toxicity; paralytic_shellfish_poisoning; alexandrium_minutum,"gonyautoxin may be associated with protoceratium production or occurrence, supported by bridge concepts including alexandrium_ostenfeldii, alexandrium, toxicity, paralytic_shellfish_poisoning, alexandrium_minutum."
phosphorus,ENV_FACTOR,sxtb,SXT_GENE,environment_gene_regulation,1,0.5744507792570425,0.2466604413351117,0.4433346440882701,109.04346092810498,13,6,dinoflagellate; dinoflagellates; saxitoxin; cyanobacteria; paralytic_shellfish_toxins; toxin_production; sxtg; bloom; toxin_biosynthesis; paralytic_shellfish_poisoning; sxta; nutrient; biosynthesis,"phosphorus may influence or regulate sxtb, supported by bridge concepts including dinoflagellate, dinoflagellates, saxitoxin, cyanobacteria, paralytic_shellfish_toxins."
toxin_biosynthesis,BIOLOGICAL_PROCESS,sxtd,SXT_GENE,gene_process_association,1,0.6008143268185401,0.1836332969224168,0.4339419148600907,75.5706260874338,8,6,saxitoxin; cyanobacteria; paralytic_shellfish_toxins; mass_spectrometry; paralytic_shellfish_poisoning; sxta; expression; dinoflagellates,"toxin_biosynthesis may be linked to the biological process sxtd, supported by bridge concepts including saxitoxin, cyanobacteria, paralytic_shellfish_toxins, mass_spectrometry, paralytic_shellfish_poisoning."
